scientific_name	strain	gcf_accession	refseq_category	phylum	class	order	family	genus	species	habitat	oxygen_requirement	gut_flag	pathogenicity
Nitrospina watsonii	347	GCF_946900835.1	reference genome	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	Nitrospina watsonii	unknown habitat	facultative_anaerobe	non_gut	non_pathogenic
Nitrospira moscoviensis	NSP M-1	GCF_001273775.1	reference genome	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira moscoviensis	freshwater/wastewater	aerobe	non_gut	non_pathogenic
Nitrospirillum viridazoti CBAmc	CBAmC	GCF_000730165.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Nitrospirillum	Nitrospirillum viridazoti	soil/water	aerobe	non_gut	non_pathogenic
Niveibacterium microcysteis	HC41	GCF_017161445.1	reference genome	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Niveibacterium	Niveibacterium microcysteis	soil/water/clinical	aerobe	non_gut	non_pathogenic
Niveispirillum fermenti	CC-LY736	GCF_052474395.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Niveispirillum	Niveispirillum fermenti	soil/water	aerobe	non_gut	non_pathogenic
Nocardia asteroides	NCTC11293	GCF_900637185.1	reference genome	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia asteroides	soil	aerobe	non_gut	opportunistic_pathogen
Nocardioides dokdonensis FR1436	FR1436	GCF_001653335.1	reference genome	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides dokdonensis	dairy/skin	anaerobe	non_gut	non_pathogenic
Nocardiopsis gilva YIM 90087	YIM 90087	GCF_002263495.1	reference genome	Actinomycetota	Actinomycetes	Streptosporangiales	Nocardiopsidaceae	Nocardiopsis	Nocardiopsis gilva	soil/clinical	aerobe	non_gut	non_pathogenic
Nodularia spumigena UHCC 0039	UHCC 0039	GCF_003054475.1	reference genome	Cyanobacteriota	Cyanophyceae	Nostocales	Nodulariaceae	Nodularia	Nodularia spumigena	freshwater/soil	aerobe	non_gut	non_pathogenic
Nonlabens tegetincola	NBRC 100970	GCF_002117085.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Nonlabens	Nonlabens tegetincola	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Nonomuraea coxensis DSM 45129	DSM 45129	GCF_019397265.1	reference genome	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea coxensis	soil/clinical	aerobe	non_gut	non_pathogenic
Nosocomiicoccus ampullae	DSM 19163	GCF_019357495.1	reference genome	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Nosocomiicoccus	Nosocomiicoccus ampullae	human skin/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Nostoc punctiforme PCC 73102	ATCC 29133; PCC 73102	GCF_000020025.1	reference genome	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc punctiforme	soil/freshwater	aerobe	non_gut	non_pathogenic
Novacetimonas hansenii	C110	GCF_014843995.1	reference genome	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Novacetimonas	Novacetimonas hansenii	soil/water	aerobe	non_gut	non_pathogenic
Novibacillus thermophilus	SG-1	GCF_002005165.1	reference genome	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus	Novibacillus thermophilus	soil	aerobe	non_gut	non_pathogenic
Noviluteimonas caseinilytica	JCM32879	GCF_018406605.1	reference genome	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Noviluteimonas	Noviluteimonas caseinilytica	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Novilysobacter ciconiae	H21R20	GCF_015209725.1	reference genome	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Novilysobacter	Novilysobacter ciconiae	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Novisyntrophococcus fermenticellae	JN500902	GCF_018866245.1	reference genome	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Novisyntrophococcus	Novisyntrophococcus fermenticellae	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Novosphingobium aromaticivorans DSM 12444	DSM 12444	GCF_000013325.1	reference genome	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium aromaticivorans	soil	aerobe	non_gut	non_pathogenic
Novosphingopyxis iocasae	PB63	GCF_014334095.1	reference genome	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingorhabdaceae	Novosphingopyxis	Novosphingopyxis iocasae	soil/water	aerobe	non_gut	non_pathogenic
Occallatibacter riparius	DSM 25168	GCF_025264625.1	reference genome	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Occallatibacter	Occallatibacter riparius	acidic soil	facultative_anaerobe	non_gut	non_pathogenic
Occultella kanbiaonis	HY044	GCF_009708215.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Ruaniaceae	Occultella	Occultella kanbiaonis	soil/clinical	aerobe	non_gut	non_pathogenic
Oceanicoccus sagamiensis	NBRC 107125	GCF_002117105.1	reference genome	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Oceanicoccus	Oceanicoccus sagamiensis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Oceanidesulfovibrio marinus	CS1	GCF_013085545.1	reference genome	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Oceanidesulfovibrio	Oceanidesulfovibrio marinus	sediment/gut	obligate_anaerobe	gut_associated	non_pathogenic
Oceaniferula spumae	NT6N	GCF_042849255.1	reference genome	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Oceaniferula	Oceaniferula spumae	soil/water/gut	aerobe	non_gut	non_pathogenic
Oceanimonas pelagia	NTOU-MSR1	GCF_030849025.1	reference genome	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanimonas	Oceanimonas pelagia	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Oceaniradius stylonematis		GCF_965223445.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Ahrensiaceae	Oceaniradius	Oceaniradius stylonematis	soil/rhizosphere	aerobe	non_gut	non_pathogenic
Oceanisphaera profunda	SM1222	GCF_002157895.1	reference genome	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanisphaera	Oceanisphaera profunda	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Oceanispirochaeta crateris	K2	GCF_008329965.1	reference genome	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Oceanispirochaeta	Oceanispirochaeta crateris	animal/human	anaerobe	non_gut	opportunistic_pathogen
Oceanithermus profundus DSM 14977	DSM 14977	GCF_000183745.1	reference genome	Deinococcota	Deinococci	Thermales	Thermaceae	Oceanithermus	Oceanithermus profundus	hot springs	aerobe	non_gut	non_pathogenic
Oceanobacillus iheyensis HTE831	HTE831	GCF_000011245.1	reference genome	Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus iheyensis	soil	aerobe	non_gut	non_pathogenic
Ochrobactrum quorumnocens	A44	GCF_002278035.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Ochrobactrum	Ochrobactrum quorumnocens	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Octadecabacter temperatus	SB1	GCF_001187845.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Octadecabacter	Octadecabacter temperatus	soil/water	aerobe	non_gut	non_pathogenic
Odoribacter splanchnicus	NCTC10825	GCF_900187175.1	reference genome	Bacteroidota	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	Odoribacter splanchnicus	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Oecophyllibacter saccharovorans	Ha5	GCF_006542375.1	reference genome	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Oecophyllibacter	Oecophyllibacter saccharovorans	soil/water	aerobe	non_gut	non_pathogenic
Oenococcus sicerae	UCMA15228	GCF_004102045.2	reference genome	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus	Oenococcus sicerae	wine	facultative_anaerobe	non_gut	non_pathogenic
Okeanomitos corallinicola TIOX110	TIOX110	GCF_038050375.1	reference genome	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Okeanomitos	Okeanomitos corallinicola	freshwater/soil	aerobe	non_gut	non_pathogenic
Oleidesulfovibrio vietnamensis	JCM 15785	GCF_055388115.1	reference genome	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Oleidesulfovibrio	Oleidesulfovibrio vietnamensis	sediment/gut	obligate_anaerobe	gut_associated	non_pathogenic
Oleiphilus messinensis	ME102	GCF_002162375.1	reference genome	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus	Oleiphilus messinensis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Oligella ureolytica	FDAARGOS_872	GCF_016028735.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Oligella	Oligella ureolytica	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Olsenella uli DSM 7084	DSM 7084	GCF_000143845.1	reference genome	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella uli	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Opacimonas immobilis	LMIT016	GCF_048282545.1	reference genome	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Opacimonas	Opacimonas immobilis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Opitutus terrae PB90-1	PB90-1	GCF_000019965.1	reference genome	Verrucomicrobiota	Opitutia	Opitutales	Opitutaceae	Opitutus	Opitutus terrae	soil/water/gut	aerobe	non_gut	non_pathogenic
Orbus mooreae	BiB	GCF_036251205.1	reference genome	Pseudomonadota	Gammaproteobacteria	Orbales	Orbaceae	Orbus	Orbus mooreae	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Oricola thermophila	MEBiC13590	GCF_013358405.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Ahrensiaceae	Oricola	Oricola thermophila	soil/rhizosphere	aerobe	non_gut	non_pathogenic
Orientia tsutsugamushi		GCF_900327255.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia tsutsugamushi	mite/mammal	aerobe	non_gut	pathogen (human)
Ornithinimicrobium faecis	HY1793	GCF_023923225.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Ornithinimicrobiaceae	Ornithinimicrobium	Ornithinimicrobium faecis	soil/clinical	aerobe	non_gut	non_pathogenic
Ornithobacterium rhinotracheale DSM 15997	DSM 15997	GCF_000265465.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Ornithobacterium	Ornithobacterium rhinotracheale	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Orrella marina	HZ20	GCF_003058465.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Orrella	Orrella marina	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Oryzobacter telluris	24SJ04S-52	GCF_043099285.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Intrasporangiaceae	Oryzobacter	Oryzobacter telluris	soil/clinical	aerobe	non_gut	non_pathogenic
Oryzomicrobium terrae	TPP412	GCF_008274805.1	reference genome	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Oryzomicrobium	Oryzomicrobium terrae	soil/water/clinical	aerobe	non_gut	non_pathogenic
Otariodibacter oris	Baika1	GCF_009684715.1	reference genome	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Otariodibacter	Otariodibacter oris	animal/clinical	facultative_anaerobe	non_gut	pathogen (animal)
[Clostridium] symbiosum	LM19R	GCF_040267475.1	reference genome	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Otoolea	[Clostridium] symbiosum	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Ottowia caeni	KCTC 82183	GCF_050821495.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia caeni	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Owariibacterium komagatae	13GAM1G	GCF_045865535.1	reference genome	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Owariibacterium	Owariibacterium komagatae	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Owenweeksia hongkongensis DSM 17368	DSM 17368	GCF_000236705.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Owenweeksiaceae	Owenweeksia	Owenweeksia hongkongensis	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Oxalobacter vibrioformis	WoOx3	GCF_027118995.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	Oxalobacter vibrioformis	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Oxynema acuminatum PCC 6304	PCC 6304	GCF_000317105.1	reference genome	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Oxynema	Oxynema acuminatum	freshwater/marine	aerobe	non_gut	non_pathogenic
Pacificitalea manganoxidans	DY25	GCF_002504165.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Pacificitalea	Pacificitalea manganoxidans	soil/water	aerobe	non_gut	non_pathogenic
Paenacidovorax monticola	KACC 19171	GCF_014489595.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Paenacidovorax	Paenacidovorax monticola	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Paenalcaligenes faecalis	YLCF04	GCF_027557445.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Paenalcaligenes	Paenalcaligenes faecalis	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Alicyclobacillus cycloheptanicus	SCH	GCF_028751525.1	reference genome	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Paenalicyclobacillus	Paenalicyclobacillus cycloheptanicus	soil	aerobe	non_gut	non_pathogenic
Paenalkalicoccus suaedae	M4U3P1	GCF_006965545.2	reference genome	Bacillota	Bacilli	Bacillales	Bacillaceae	Paenalkalicoccus	Paenalkalicoccus suaedae	soil	aerobe	non_gut	non_pathogenic
Paenarthrobacter nicotinovorans	ATCC 49919	GCF_021919345.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Paenarthrobacter	Paenarthrobacter nicotinovorans	soil/clinical	aerobe	non_gut	non_pathogenic
Paenibacillus polymyxa ATCC 842	ATCC 842	GCF_022811565.1	reference genome	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus polymyxa	soil	facultative_anaerobe	non_gut	non_pathogenic
Paenilisteria weihenstephanensis	WS 4560	GCF_003534205.1	reference genome	Bacillota	Bacilli	Bacillales	Listeriaceae	Paenilisteria	Paenilisteria weihenstephanensis	soil/food/clinical	facultative_anaerobe	non_gut	pathogen (human)
Paenimyroides aestuarii	SCSIO 72103	GCF_024628805.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Paenimyroides	Paenimyroides aestuarii	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Paenirhizobium daejeonense	KACC 13094	GCF_010450895.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Paenirhizobium	Paenirhizobium daejeonense	soil/rhizosphere	aerobe	non_gut	non_pathogenic
Paenisporosarcina antarctica	CGMCC 1.6503	GCF_004367585.1	reference genome	Bacillota	Bacilli	Bacillales	Caryophanaceae	Paenisporosarcina	Paenisporosarcina antarctica	soil	aerobe	non_gut	non_pathogenic
Paludibacter propionicigenes WB4	WB4	GCF_000183135.1	reference genome	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	Paludibacter propionicigenes	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Paludibacterium paludis	BCRC 80514	GCF_018802605.1	reference genome	Pseudomonadota	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Paludibacterium	Paludibacterium paludis	human naso/clinical	aerobe	non_gut	pathogen (human)
Paludibaculum fermentans	P105	GCF_015277775.1	reference genome	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Paludibaculum	Paludibaculum fermentans	acidic soil	facultative_anaerobe	non_gut	non_pathogenic
Paludisphaera borealis	PX4	GCF_001956985.1	reference genome	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Paludisphaera	Paludisphaera borealis	freshwater/marine	aerobe	non_gut	non_pathogenic
Pampinifervens diazotrophicum	T-2	GCF_033971325.1	reference genome	Aquificota	Aquificia	Aquificales	Aquificaceae	Pampinifervens	Pampinifervens diazotrophicum	hydrothermal	microaerophile	non_gut	non_pathogenic
Panacibacter ginsenosidivorans	Gsoil1550	GCF_007971225.1	reference genome	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Panacibacter	Panacibacter ginsenosidivorans	soil	aerobe	non_gut	non_pathogenic
Pandoraea apista	DSM 16535	GCF_001465595.2	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea apista	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Pantoea agglomerans	FDAARGOS 1447	GCF_019048385.1	reference genome	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans	plant/environment	facultative_anaerobe	non_gut	non_pathogenic
Parabacteroides johnsonii DSM 18315	DSM 18315	GCF_025151045.1	reference genome	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides johnsonii	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Paraburkholderia fungorum	ATCC BAA-463	GCF_000961515.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia fungorum	soil/rhizosphere	aerobe	non_gut	non_pathogenic
Parachlamydia acanthamoebae UV-7	UV-7	GCF_000253035.1	reference genome	Chlamydiota	Chlamydiia	Parachlamydiales	Parachlamydiaceae	Parachlamydia	Parachlamydia acanthamoebae	amoeba/human cells	aerobe	non_gut	opportunistic_pathogen
Paracidovorax avenae ATCC 19860	ATCC 19860	GCF_000176855.2	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Paracidovorax	Paracidovorax avenae	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Paraclostridium bifermentans	DSM 14991	GCF_019916025.1	reference genome	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Paraclostridium bifermentans	human gut/clinical	obligate_anaerobe	gut_associated	opportunistic_pathogen
Paracoccus denitrificans	ATCC 19367	GCF_004063735.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	Paracoccus denitrificans	soil/water	aerobe	non_gut	non_pathogenic
Paraconexibacter antarcticus	02-257	GCF_024220175.1	reference genome	Actinomycetota	Thermoleophilia	Solirubrobacterales	Paraconexibacteraceae	Paraconexibacter	Paraconexibacter antarcticus	soil/clinical	aerobe	non_gut	non_pathogenic
Paracrocinitomix mangrovi	GM2-3-6-6	GCF_019740355.2	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Paracrocinitomix	Paracrocinitomix mangrovi	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Paradevosia shaoguanensis	J5-3	GCF_016801025.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Paradevosia	Paradevosia shaoguanensis	soil/rhizosphere	aerobe	non_gut	non_pathogenic
Paraflavitalea speifideaquila	BL16E	GCF_032395985.1	reference genome	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Paraflavitalea	Paraflavitalea speifideaquila	soil	aerobe	non_gut	non_pathogenic
Paragemmobacter aquarius	HYN0069	GCF_003060865.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paragemmobacter	Paragemmobacter aquarius	soil/water	aerobe	non_gut	non_pathogenic
Parageobacillus thermoglucosidasius	Wild Type	GCF_001700985.1	reference genome	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Parageobacillus	Parageobacillus thermoglucosidasius	soil	aerobe	non_gut	non_pathogenic
Paraliobacillus zengyii	X-1125	GCF_003268595.1	reference genome	Bacillota	Bacilli	Bacillales	Bacillaceae	Paraliobacillus	Paraliobacillus zengyii	soil	aerobe	non_gut	non_pathogenic
Paralysiella testudinis	26B	GCF_016894345.1	reference genome	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Paralysiella	Paralysiella testudinis	human naso/clinical	aerobe	non_gut	pathogen (human)
Paramagnetospirillum magneticum AMB-1	AMB-1	GCF_000009985.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Paramagnetospirillum	Paramagnetospirillum magneticum	soil/water	aerobe	non_gut	non_pathogenic
Paramicrobacterium chengjingii	HY60	GCF_011751765.2	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Paramicrobacterium	Paramicrobacterium chengjingii	soil/clinical	aerobe	non_gut	non_pathogenic
Paramixta manurensis	PD-1	GCF_013285385.1	reference genome	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Paramixta	Paramixta manurensis	human gut/environment	facultative_anaerobe	gut_associated	opportunistic_pathogen
Paramuribaculum intestinale	DSM 100764	GCF_030759015.1	reference genome	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum intestinale	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Paraneptunicella aestuarii	NBU2194	GCF_019900845.1	reference genome	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Paraneptunicella	Paraneptunicella aestuarii	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Paraoerskovia sediminicola	NBRC 108565	GCF_030296575.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Paraoerskovia	Paraoerskovia sediminicola	soil/clinical	aerobe	non_gut	non_pathogenic
Paraperibacillus marinus	SCS-26	GCF_046237605.1	reference genome	Bacillota	Bacilli	Bacillales	Bacillaceae	Paraperibacillus	Paraperibacillus marinus	soil	aerobe	non_gut	non_pathogenic
Paraphotobacterium marinum	NSCS20N07D	GCF_002216855.1	reference genome	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Paraphotobacterium	Paraphotobacterium marinum	aquatic/coastal	facultative_anaerobe	non_gut	pathogen (human)
Paraprevotella xylaniphila YIT 11841		GCF_900683745.1	reference genome	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Paraprevotella xylaniphila	human gut/oral	obligate_anaerobe	gut_dominant	non_pathogenic
Pararhizobium gei	ZFJT.2T	GCF_029223885.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Pararhizobium	Pararhizobium gei	soil/rhizosphere	aerobe	non_gut	non_pathogenic
Pararhodospirillum photometricum DSM 122	DSM 122	GCF_000284415.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Pararhodospirillum	Pararhodospirillum photometricum	soil/water	aerobe	non_gut	non_pathogenic
Parasalinivibrio latis	TLL-SE01	GCF_036825535.1	reference genome	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Parasalinivibrio	Parasalinivibrio latis	aquatic/coastal	facultative_anaerobe	non_gut	pathogen (human)
Parascardovia denticolens DSM 10105 = JCM 12538	JCM 12538	GCF_001042675.1	reference genome	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Parascardovia	Parascardovia denticolens	human gut	anaerobe	gut_dominant	non_pathogenic
Parasedimentitalea psychrophila	QS115	GCF_030285785.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Parasedimentitalea	Parasedimentitalea psychrophila	soil/water	aerobe	non_gut	non_pathogenic
Parashewanella spongiae	HJ039	GCF_004358345.1	reference genome	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Parashewanella	Parashewanella spongiae	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Parasphaerochaeta coccoides DSM 17374	DSM 17374	GCF_000208385.1	reference genome	Spirochaetota	Spirochaetia	Spirochaetales	Sphaerochaetaceae	Parasphaerochaeta	Parasphaerochaeta coccoides	animal/human	anaerobe	non_gut	opportunistic_pathogen
Parasphingopyxis algicola	JCM 31719	GCF_013378075.1	reference genome	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Parasphingopyxidaceae	Parasphingopyxis	Parasphingopyxis algicola	soil/water	aerobe	non_gut	non_pathogenic
Parasphingorhabdus cellanae	JHSY0214	GCF_017498565.1	reference genome	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingorhabdaceae	Parasphingorhabdus	Parasphingorhabdus cellanae	soil/water	aerobe	non_gut	non_pathogenic
Parasynechococcus marenigrum WH 8102	WH 8102	GCF_000195975.1	reference genome	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Parasynechococcus	Parasynechococcus marenigrum	marine/freshwater	aerobe	non_gut	non_pathogenic
Parathermosynechococcus lividus PCC 6715	PCC 6715	GCF_002754935.1	reference genome	Cyanobacteriota	Cyanophyceae	Acaryochloridales	Thermosynechococcaceae	Parathermosynechococcus	Parathermosynechococcus lividus	freshwater/marine	aerobe	non_gut	non_pathogenic
Paraurantiacibacter namhicola	JCM 16345	GCF_001687545.1	reference genome	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Paraurantiacibacter	Paraurantiacibacter namhicola	soil/water	aerobe	non_gut	non_pathogenic
Parelusimicrobium proximum	Dip518	GCF_050389785.1	reference genome	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Parelusimicrobium	Parelusimicrobium proximum	insect gut	obligate_anaerobe	gut_associated	non_pathogenic
Paremcibacter congregatus	ZYLT	GCF_006385135.1	reference genome	Pseudomonadota	Alphaproteobacteria	Emcibacterales	Emcibacteraceae	Paremcibacter	Paremcibacter congregatus	soil/water	aerobe	non_gut	non_pathogenic
Paroceanicella profunda	D4M1	GCF_005887635.2	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paroceanicella	Paroceanicella profunda	soil/water	aerobe	non_gut	non_pathogenic
Parolsenella catena	JCM 31932	GCF_003966955.1	reference genome	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parolsenella	Parolsenella catena	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
